+ Add Milestone,+ 添加里程碑
+ Create Task,+ 创建任务
+ Log Time,+ 记录时间
-- Select a project --,-- 选择项目 --
0m,0分钟
1 day,1天
1 day ago,1天前
1 dependency,1个依赖
1 entry,1条记录
1 file,1个文件
1 hour ago,1小时前
1 member,1位成员
1 milestone,1个里程碑
1 month,1个月
1 task,1个任务
< 1m,< 1分钟
"A clear, actionable title for the task",清晰明确的任务标题
A client with email {0} already exists: {1},邮箱为 {0} 的客户已存在：{1}
A key deliverable or checkpoint for the project,项目的关键交付物或检查点
Accept,接受
Accepted,已接受
Acknowledge,确认
across,跨
Action,操作
Actions,操作
Active,活跃
Active Assignments,活跃分配
Active Projects,进行中的项目
Activity,动态
Activity data deleted successfully,动态数据已删除
Activity Info,动态信息
Activity Stats,动态统计
Activity will appear here as you work on tasks and projects.,当你处理任务和项目时，动态会显示在这里。
Actual,实际
Actual Cost,实际成本
Actual cost cannot be negative,实际成本不能为负数
Actual end date cannot be before actual start date,实际结束日期不能早于实际开始日期
Actual Hours,实际工时
Add,添加
Add a checklist item...,添加检查项...
Add a comment...,添加评论...
Add a comment... (Ctrl+Enter to send),添加评论... (Ctrl+Enter 发送)
Add a description...,添加描述...
Add a milestone description...,添加里程碑描述...
Add a note below to annotate this activity.,在下方添加备注来标注此动态。
Add a note...,添加备注...
Add a project description...,添加项目描述...
Add a task description...,添加任务描述...
Add checklist item...,添加检查项...
Add Contact,添加联系人
Add contacts via the Desk interface or clear filters,通过Desk界面添加联系人或清除筛选条件
Add Dependency,添加依赖
Add details about this event...,添加此事件的详细信息...
Add details about this milestone...,添加此里程碑的详细信息...
Add details about this task...,添加此任务的详细信息...
Add details or acceptance criteria for this milestone,为此里程碑添加详细信息或完成标准
"Add details, context, or acceptance criteria",添加详细信息、背景或完成标准
Add first dependency,添加第一个依赖
Add item,添加项目
Add items below to track progress.,在下方添加项目来跟踪进度。
Add items below to track subtasks,在下方添加项目来跟踪子任务
Add Milestone,添加里程碑
Add Milestone (Shift+M),添加里程碑 (Shift+M)
Add milestones to track key deliverables.,添加里程碑来跟踪关键交付物。
Add New Contact,添加新联系人
Add Note,添加备注
Add note,添加备注
Add notes about this contact...,添加关于此联系人的备注...
Add reaction,添加回应
Add Skill,添加技能
Add start and due dates to tasks to see them on the Gantt chart,为任务设置开始日期和截止日期即可在Gantt图表中查看
Add Task,添加任务
Add Task (Shift+T),添加任务 (Shift+T)
Added Finish-to-Start dependency,已添加完成-开始依赖
Adding this dependency would create a circular reference: {0},添加此依赖会产生循环引用：{0}
Adding...,正在添加...
Address,地址
Advanced,高级设置
All,全部
All Active,全部活跃
All Assignees,所有负责人
All Categories,所有分类
All caught up!,全部处理完毕！
All Contexts,所有上下文
All day,全天
All day event,全天事件
All fields,所有字段
All Priorities,所有优先级
All Projects,所有项目
All Status,所有状态
All Statuses,所有状态
All task dependencies & relative dates,所有任务依赖和相对日期
All Tasks,所有任务
All tasks across all projects.,所有项目的全部任务。
All tasks are already linked,所有任务已关联
All team members,所有团队成员
All Types,所有类型
All Users,所有用户
Allocated,已分配
allocated,已分配
Allow users to log time against tasks,允许用户对任务记录时间
Already exported to timesheet {0},已导出到工时表 {0}
Already Migrated,已迁移
Anyone with access,所有有权限的人
anytime to show this help,随时显示此帮助
App Updates,App Updates
Appearance,外观
Apply,应用
Apply cascade?,是否应用级联？
Apply Changes,应用更改
Apply failed,应用失败
Apply Template,应用模板
Applying...,正在应用...
Appointment,日程
Appointment and resource are required,日程和资源为必填项
Appointment name is required,日程名称为必填项
Appointment not found,未找到日程
Appointment {0} not found,未找到日程 {0}
Apps,应用
Archive,归档
Archive Activity,归档动态
Archived,已归档
Are you sure you want to delete this activity data? This cannot be undone.,确定要删除此动态数据吗？此操作无法撤销。
Are you sure you want to delete this comment?,确定要删除此评论吗？
Are you sure you want to delete this project?,确定要删除此项目吗？
Are you sure?,确定吗？
Ascending -- click to reverse,升序 -- 点击反转
Assign To,分配给
Assign to Me,分配给我
Assigned Contact,已分配联系人
Assigned To,负责人
Assigned to,负责人
Assigned to Me,已分配给我
Assignee,负责人
Assignment,分配
Assignment History,分配历史
Assignment name is required,分配名称为必填项
Assignment {0} not found,未找到分配 {0}
Assignments,分配
At least one action is required,至少需要一个操作
At least one event is required,至少需要一个事件
At least one event must be selected,至少需要选择一个事件
Attachment,附件
Attachments,附件
Attendees,参与者
"Audit trail, assignments, version history",变更记录、分配、版本历史
Auto,自动
Auto Calculate Progress,自动计算进度
Auto Set Missed Milestones,自动标记逾期里程碑
Auto-shift dependents when dates change,日期变更时自动调整依赖任务
Auto-Trail Start,自动顺延开始
Auto-Trail updated,自动顺延已更新
Automatically calculate project progress from task completion,根据任务完成情况自动计算项目进度
Automatically mark milestones as missed when overdue,逾期时自动将里程碑标记为未达成
Automation rule {0} not found,未找到自动化规则 {0}
Automation: {0},自动化：{0}
Availability,可用性
Available,空闲
Avatar updated successfully,头像已更新
Avg Progress,平均进度
Back,返回
Back to Portal,返回门户
Back to Projects,返回项目列表
Beginner,初级
Best regards,此致敬意
Billable,可计费
Billable Amount,计费金额
Billable Hours,可计费工时
Billable Rate,计费单价
Billing Rate,计费费率
Blocked,已阻塞
Both dates are needed to display task as a bar in Gantt chart,需要两个日期才能在Gantt图表中将任务显示为条形
Both doctype and docname are required,doctype和docname都是必填项
Both proposed start and end times are required,建议的开始时间和结束时间都是必填项
Both task_name and depends_on are required,task_name和depends_on都是必填项
Breadcrumb,面包屑导航
Brief description of the defect or damage,缺陷或损坏的简要描述
Brief description of this template,此模板的简要描述
Brief description of your request,您的请求的简要描述
Brief project description,项目简要描述
Budget,预算
Budget at risk,预算有风险
Budget Burn Rate,预算消耗率
Budget Status,预算状态
Budget updated,预算已更新
Budget:,预算：
Bug,缺陷
Burn Rate,消耗率
Busy,忙碌
By,由
By Assignee,按负责人
By Group,按分组
By Milestone,按里程碑
By Priority,按优先级
By Status,按状态
Cancel,取消
Cancelled,已取消
cannot be undone,无法撤销
Cannot delete client with {0} linked projects. Unlink projects first.,客户关联了 {0} 个项目，无法删除。请先取消关联。
Cannot delete project with {0} linked tasks. Delete tasks first.,项目关联了 {0} 个任务，无法删除。请先删除任务。
Cannot delete resource with {0} active assignments. Complete or cancel them first.,资源有 {0} 个活跃分配，无法删除。请先完成或取消。
Cannot delete task with {0} subtasks. Delete subtasks first.,任务有 {0} 个子任务，无法删除。请先删除子任务。
Capacity,容量
capacity,容量
Capacity & Rates,容量与费率
Capture project structure for reuse,保存项目结构以供复用
Cascade,级联
