+ Add Milestone,+ Ongeraho Intambwe Nkuru
+ Create Task,+ Kora Umurimo
+ Log Time,+ Andika Igihe
-- Select a project --,-- Hitamo umushinga --
0m,0m
1 day,umunsi 1
1 day ago,hashize umunsi 1
1 dependency,isano 1
1 entry,kwinjira 1
1 file,dosiye 1
1 hour ago,hashize isaha 1
1 member,umunyamuryango 1
1 milestone,intambwe nkuru 1
1 month,ukwezi 1
1 task,umurimo 1
< 1m,< 1m
"A clear, actionable title for the task",Umutwe usobanutse kandi ushobora gukurikizwa ku murimo
A client with email {0} already exists: {1},Umukiriya ufite imeri {0} asanzwe ariho: {1}
A key deliverable or checkpoint for the project,Igisubizo cy'ingenzi cyangwa ahantu ho kugenzura ku mushinga
Accept,Emera
Accepted,Byemewe
Acknowledge,Emeza
across,muri
Action,Igikorwa
Actions,Ibikorwa
Active,Birakora
Active Assignments,Ibigenewe birakora
Active Projects,Imishinga irakora
Activity,Ibikorwa
Activity data deleted successfully,Amakuru y'ibikorwa yasibwe neza
Activity Info,Amakuru y'ibikorwa
Activity Stats,Imibare y'ibikorwa
Activity will appear here as you work on tasks and projects.,Ibikorwa bizagaragara hano ugiye ukora ku mirimo n'imishinga.
Actual,Nyakuri
Actual Cost,Igiciro nyakuri
Actual cost cannot be negative,Igiciro nyakuri ntigishobora kuba gihari
Actual end date cannot be before actual start date,Itariki y'iherezo nyakuri ntishobora kuba mbere y'itariki yo gutangira nyakuri
Actual Hours,Amasaha nyakuri
Add,Ongeraho
Add a checklist item...,Ongeraho igice cy'urutonde rwo kugenzura...
Add a comment...,Ongeraho igitekerezo...
Add a comment... (Ctrl+Enter to send),Ongeraho igitekerezo... (Ctrl+Enter kohereza)
Add a description...,Ongeraho ibisobanuro...
Add a milestone description...,Ongeraho ibisobanuro by'intambwe nkuru...
Add a note below to annotate this activity.,Ongeraho icyanditswe hano hepfo kugira usobanuze iki gikorwa.
Add a note...,Ongeraho icyanditswe...
Add a project description...,Ongeraho ibisobanuro by'umushinga...
Add a task description...,Ongeraho ibisobanuro by'umurimo...
Add checklist item...,Ongeraho igice cy'urutonde rwo kugenzura...
Add Contact,Ongeraho Umuntu wo Guhamagara
Add contacts via the Desk interface or clear filters,Ongeraho abantu bo guhamagara binyuze muri Desk cyangwa ukureho ibihinguranya
Add Dependency,Ongeraho Isano
Add details about this event...,Ongeraho amakuru ku byerekeye iyi nama...
Add details about this milestone...,Ongeraho amakuru ku byerekeye iyi ntambwe nkuru...
Add details about this task...,Ongeraho amakuru ku byerekeye uyu murimo...
Add details or acceptance criteria for this milestone,Ongeraho amakuru cyangwa ibipimo byo kwemera iyi ntambwe nkuru
"Add details, context, or acceptance criteria","Ongeraho amakuru, imiterere, cyangwa ibipimo byo kwemera"
Add first dependency,Ongeraho isano ya mbere
Add item,Ongeraho igice
Add items below to track progress.,Ongeraho ibice hano hepfo kugira ukurikirane aho bigeze.
Add items below to track subtasks,Ongeraho ibice hano hepfo kugira ukurikirane imirimo mito
Add Milestone,Ongeraho Intambwe Nkuru
Add Milestone (Shift+M),Ongeraho Intambwe Nkuru (Shift+M)
Add milestones to track key deliverables.,Ongeraho intambwe nkuru kugira ukurikirane ibisubizo by'ingenzi.
Add New Contact,Ongeraho Umuntu Mushya wo Guhamagara
Add Note,Ongeraho Icyanditswe
Add note,Ongeraho icyanditswe
Add notes about this contact...,Ongeraho amandiko ku byerekeye uyu muntu...
Add reaction,Ongeraho igisubizo
Add Skill,Ongeraho Ubumenyi
Add start and due dates to tasks to see them on the Gantt chart,Ongeraho amatariki yo gutangira n'ayo gurangira ku mirimo kugira uyabone kuri Gantt
Add Task,Ongeraho Umurimo
Add Task (Shift+T),Ongeraho Umurimo (Shift+T)
Added Finish-to-Start dependency,Isano y'Iherezo-kuri-Itangiriro yongewemo
Adding this dependency would create a circular reference: {0},Kongeraho iyi sano byakwangiza ukubamo uruziga: {0}
Adding...,Birongerwa...
Address,Aderesi
Advanced,Byimbitse
All,Byose
All Active,Byose birakora
All Assignees,Abagenewe bose
All Categories,Amoko yose
All caught up!,Wasomye byose!
All Contexts,Imiterere yose
All day,Umunsi wose
All day event,Ikintu cy'umunsi wose
All fields,Imyanya yose
All Priorities,Ibyihutirwa byose
All Projects,Imishinga yose
All Status,Imiterere yose
All Statuses,Imiterere yose
All task dependencies & relative dates,Isano zose z'imirimo n'amatariki ahuriyeho
All Tasks,Imirimo yose
All tasks across all projects.,Imirimo yose mu mishinga yose.
All tasks are already linked,Imirimo yose isanzwe ihujwe
All team members,Abanyamuryango bose b'itsinda
All Types,Ubwoko bwose
All Users,Abakoresha bose
Allocated,Byagabanyijwe
allocated,byagabanyijwe
Allow users to log time against tasks,Emera abakoresha kwandika igihe ku mirimo
Already exported to timesheet {0},Bisanzwe byoherejwe ku rupapuro rw'igihe {0}
Already Migrated,Bisanzwe byimurwe
Anyone with access,Umuntu wese ufite uburenganzira
anytime to show this help,igihe icyo ari cyo cyose kugira werekane ubu bufasha
App Updates,App Updates
Appearance,Igaragara
Apply,Koresha
Apply cascade?,Koresha umurongo?
Apply Changes,Koresha Amahinduka
Apply failed,Gukoresha byanze
Apply Template,Koresha Ingero
Applying...,Birakoreshwa...
Appointment,Gahunda
Appointment and resource are required,Gahunda n'umutungo bisabwa
Appointment name is required,Izina rya gahunda risabwa
Appointment not found,Gahunda ntibwabonetse
Appointment {0} not found,Gahunda {0} ntibwabonetse
Apps,Porogaramu
Archive,Bika mu bubiko
Archive Activity,Bika Igikorwa mu Bubiko
Archived,Byabitswe mu bubiko
Are you sure you want to delete this activity data? This cannot be undone.,Uzi neza ko ushaka gusiba aya makuru y'ibikorwa? Ibi ntibizagaruka.
Are you sure you want to delete this comment?,Uzi neza ko ushaka gusiba iki gitekerezo?
Are you sure you want to delete this project?,Uzi neza ko ushaka gusiba uyu mushinga?
Are you sure?,Uzi neza?
Ascending -- click to reverse,Kuzamuka -- kanda uhindure
Assign To,Genera
Assign to Me,Igenere
Assigned Contact,Umuntu Wagenewe
Assigned To,Yagenewe
Assigned to,Yagenewe
Assigned to Me,Yagenewe Njye
Assignee,Uwagenewe
Assignment,Igenerwa
Assignment History,Amateka y'igenerwa
Assignment name is required,Izina ry'igenerwa risabwa
Assignment {0} not found,Igenerwa {0} ntiryabonetse
Assignments,Ibigenewe
At least one action is required,Nibura igikorwa kimwe gisabwa
At least one event is required,Nibura ikintu kimwe gisabwa
At least one event must be selected,Nibura ikintu kimwe kigomba guhitamwa
Attachment,Umugereka
Attachments,Imigereka
Attendees,Abitabiriye
"Audit trail, assignments, version history","Inzira yo kugenzura, ibigenewe, amateka y'iversiyo"
Auto,Otomatike
Auto Calculate Progress,Kubara Aho Bigeze Otomatike
Auto Set Missed Milestones,Gushyira Intambwe Nkuru Zitarashitswe Otomatike
Auto-shift dependents when dates change,Gusunika ibiteganijwe otomatike amatariki ahindutse
Auto-Trail Start,Gutangira Gusunikwa Otomatike
Auto-Trail updated,Gusunikwa otomatike gwahinduwe
Automatically calculate project progress from task completion,Kubara aho umushinga ugeze otomatike uhereye ku mirimo yarangiye
Automatically mark milestones as missed when overdue,Gushyira ikimenyetso ku ntambwe nkuru nk'aho zitarashitswe igihe zihise
Automation rule {0} not found,Itegeko ry'otomatike {0} ntiryabonetse
Automation: {0},Otomatike: {0}
Availability,Ubushobozi bwo kuboneka
Available,Birahari
Avatar updated successfully,Ishusho y'umukoresha yahinduwe neza
Avg Progress,Aho Bigeze ku Rugero
Back,Subira inyuma
Back to Portal,Subira ku Muryango
Back to Projects,Subira ku Mishinga
Beginner,Utangiye
